Record ID,Company Name ,GCC City,Industry ,Function,Headcount,Attrition Rate,Avg Annual Salary,GCC Setup Date,Tier,Remote/Hybrid,Client Contact Email
1,Acme Global Tech,Bengaluru,BFSI,Engineering,1200,12%,"18,50,000",14-03-2019,Tier 1,Hybrid,rjoshi@acmeglobal.com
2,Acme Global Tech,Bengaluru,BFSI,Engineering,1200,12%,"18,50,000",14-03-2019,Tier 1,Hybrid,rjoshi@acmeglobal.com
3,Nova Health Systems,Hyderabad,Healthcare,R&D,340,,22.5 LPA,2021-07-01,tier 2,WFH,
4,nova health systems,hyderabad,Healthcare,r&d,340,18%,2250000,01/07/2021,Tier 2,Remote,s.iyer@novahealth.co
5,Vertex Financial Svcs,Pune,BFSI,Finance & Accounting,875,9.5%,1600000,2018,Tier 1,hybrid,
6,Vertex Financial Services,pune,Bfsi,Finance and Accounting,,9.5,"16,00,000",N/A,Tier 1,Hybrid,mkapoor@vertexfin.com
7,Bright Retail Analytics,Chennai,Retail,Data & Analytics,210,,,03-2022,Tier 3,Onsite,contact@brightretail.in
8,Bright Retail Analytics ,Chennai ,Retail ,Data & Analytics ,215,22%,1450000,2022-03-15,Tier 3,onsite,contact@brightretail.in
9,Orbit Manufacturing GCC,Coimbatore,Manufacturing,Supply Chain,150,15,,unknown,Tier 3,Hybrid,
10,Zenith Pharma Labs,Bengaluru,Pharma,R&D,980,,3200000 usd,2016-11-20,Tier 1,Hybrid,priya.n@zenithpharma.com
11,Zenith Pharma Labs,Blore,Pharma,R&D,985,11%,"32,00,000",20/11/2016,Tier 1,hybrid,priya.n@zenithpharma.com
12,Quantum Insurance Tech,Gurugram,Insurance,Engineering,invalid,14%,2100000,2020-01-10,Tier 2,Remote,
13,Quantum Insurance Tech,Gurgaon,Insurance,engineering,640,14.0%,21 lakh,10-01-2020,Tier 2,remote,d.mehta@quantumins.com
14,Silverline Logistics,Mumbai,Logistics,Operations,,,,,,,
15,Delta Consumer Goods,Bangalore,FMCG,Marketing,455,-5%,1900000,2019/05/22,Tier 2,Hybrid,a.rao@deltacg.com
16,Delta Consumer Goods,Bengaluru,FMCG,Marketing ,455,8%,"19,00,000",22-05-2019,Tier 2,Hybrid,a.rao@deltacg.com
17,Helix Biotech Center,Hyderabad,Pharma,R&D,720,16%,2750000,2017,tier 1,onsite,
18,Cascade Media Solutions,Noida,Media,Content & Design,95,25%,1100000,2023-09-01,Tier 3,hybrid,cascade_hr@cascademedia.io
19,Cascade Media Solutions,noida,media,content and design,98,,"11,00,000",01-09-2023,Tier 3,Hybrid,cascade_hr@cascademedia.io
20,Anchor Steel Global,Chennai,Manufacturing,Finance & Accounting,310,999%,1750000,2015-06-30,Tier 2,Onsite,
21,Anchor Steel Global,chennai,manufacturing,finance & accounting,312,13%,"17,50,000",30-06-2015,Tier 2,onsite,fin@anchorsteel.com
22,Pinnacle Wealth Advisors,Mumbai,BFSI,Data & Analytics,268,,2400000.0,,Tier 1,Hybrid,ops@pinnaclewealth.in
